Name,Latitude,Longitude
Metropolitan Community Church (MCC) Seattle,-122.312389,47.6595768
Seattle First Baptist Church,-122.3219385,47.6120751
Quest Church,-122.3743862,47.6632126
First United Methodist Church,-122.3530106,47.6187166
All Pilgrims,-122.3203771,47.62336
Saint Mark's Episcopal Cathedral,-122.3213674,47.6318999
EastLake Community Church,-122.2096691,47.71809
Seattle Community Church,-122.2786031,47.6614435
PFLAG Seattle,-122.3172152,47.6142779
Bethany Community Church,-122.3421097,47.6872597
